,Target,importance
996,"Endothelial_Cell_Umbilical_Vein | FAIRE | ID:33610
",0.08865994
18096,"MCF-7_Epithelium_Breast | ESR1 | ID:83818
",0.08851978
1182,"Epithelium_Kidney | H3K27me3 | ID:3452
",0.08849497
21383,"K562 | Nrf1 | ENCODE
",0.08845297
11939,"K562_Erythroblast_Bone_Marrow | ZNF740 | ID:64374
",0.088448934
3805,"GM2588_Lymphoblastoid_Blood | CTCF | ID:42520
",0.08840503
5243,"HEK293_Epithelium_Embryonic_Kidney | POLR2A | ID:45722
",0.088266626
1596,"Fetal_Stomach | H3K9me3 | ID:36146
",0.08823845
18646,"LCL_Lymphoblastoid_Blood | H3K27me3 | ID:85431
",0.08820691
4067,"iPS_C1_iPSC | H3K4me3 | ID:43332
",0.08815883
14738,"Osteoblast | POLR2A | ID:71244
",0.088065326
18091,"MCF-7_Epithelium_Breast | ESR1 | ID:83810
",0.088014714
11781,"A549_Epithelium_Lung | HES2 | ID:64120
",0.088009425
12408,"K562_Erythroblast_Bone_Marrow | MCM3 | ID:65048
",0.087852165
18128,"H209_Lung_Cancer_Cell_Lung | H3K27me3 | ID:83965
",0.087849505
1930,"Epithelium_Small_Intestine | H3K9me3 | ID:37015
",0.08782959
1918,"Aorta | H3K4me1 | ID:36953
",0.087692484
13062,"Gastric_Primary_Sample | H3K27ac | ID:66355
",0.087681934
21210,"IMR90_Cell_Line | H2A.Z | Roadmap
",0.08767224
2828,"GM19143_Lymphoblastoid | DNase | ID:40430
",0.087596245
14761,"Fibroblast_Skin | H3K27me3 | ID:71316
",0.08757189
9599,"K562_Erythroblast_Bone_Marrow | H3K4me3 | ID:57488
",0.08748838
3583,"GM12878_B_Lymphocyte_Blood | H3K36me3 | ID:42284
",0.087361425
9713,"K562_Erythroblast_Bone_Marrow | CBX2 | ID:57671
",0.08723531
514,"T98G_Brain | CREBBP | ID:2749
",0.08719231
18680,"ID00016_Lymphoblastoid | H3K27me3 | ID:85475
",0.0870438
4361,"LNCaP_Epithelium_Prostate | E2F1 | ID:44321
",0.0869834
13971,"FFPE | H3K4me2 | ID:68541
",0.08665382
14230,"BJAB_GCB_DLBCL_cells | BIRA | ID:69218
",0.086642444
20054,"Brain_Mid_Frontal_Lobe | H3K9ac | Roadmap
",0.08661543
14123,"ZR-75-30 | EP300 | ID:68917
",0.086546004
13380,"Brain | H3K9me3 | ID:6691
",0.08654419
8986,"293T | BRD4 | ID:55817
",0.086524315
9772,"Myeloid_Cell | H2AK119 | ID:58071
",0.08649096
11637,"A549_Epithelium_Lung | FOSL2 | ID:63919
",0.08648453
13807,"C4-2_Prostate | AR | ID:68091
",0.08644795
20044,"Brain_Inferior_Temporal_Lobe | H3K36me3 | Roadmap
",0.08641169
18437,"H1_Embryonic_Stem_Cell_Embryo | H2BK12ac | ID:849
",0.086331956
3726,"GM19193_Lymphoblastoid_Blood | H3K36me3 | ID:42436
",0.08632509
135,"HeLa-S3_Epithelium_Cervix | STAT1 | ID:1356
",0.086315654
1211,"IMR90_Fibroblast_Lung | H3K4me3 | ID:34665
",0.08626354
21868,"Stomach_Mucosa | H3K36me3 | Roadmap
",0.0862431
20979,"HepG2 (forskolin) | ERRA | ENCODE
",0.086215526
5900,"Macrophage | EPAS1 | ID:47088
",0.08620317
10849,"H929_B_Lymphocyte_Bone_Marrow | H3K4me3 | ID:62655
",0.08614415
2502,"Colon_Crypt | H3K4me3 | ID:39136
",0.086101755
3544,"Epithelium_Small_Intestine | H3K4me3 | ID:42204
",0.08605896
811,"MCF-7_Epithelium_Breast | GATA3 | ID:33138
",0.08599387
13994,"FFPE | H3K4me2 | ID:68567
",0.08585072
8188,"Neutrophil_cell | H3K27ac | ID:53785
",0.08581576
11840,"A549_Epithelium_Lung | EP300 | ID:64220
",0.085680604
1466,"IMR90_Fibroblast_Lung | H3K27me3 | ID:35669
",0.085615635
2237,"H1_Embryonic_Stem_Cell_Embryo | POLR2A | ID:38292
",0.08560601
17198,"HCT-116_HCT116 | H3K27ac | ID:81346
",0.08555335
11332,"K562_Erythroblast_Bone_Marrow | POLR2A | ID:63452
",0.08552047
419,"MCF-7_Epithelium_Breast | FOS | ID:2318
",0.08549538
1445,"Neural_crest_cell_Cranial | H3K27ac | ID:35625
",0.085475124
10141,"Raji_B_Lymphocyte_Blood | POLR2A | ID:58945
",0.08544474
4773,"GM12878_B_Lymphocyte_Blood | CTCF | ID:45218
",0.08539279
9015,"T_Lymphocyte | H3K4me2 | ID:55906
",0.085366495
18582,"H1299_Epithelium_Lung | H3K9me3 | ID:85271
",0.08534374
2930,"Adipocyte_Adipose | H3K9me3 | ID:4067
",0.085218444
17228,"T_Lymphocyte_Blood | H3K36me3 | ID:8143
",0.08519168
9796,"Glioblastoma_Stem_Cell | SOX2 | ID:58175
",0.08506021
12984,"MD-901_B_Lymphocyte | H3K27ac | ID:66269
",0.08493678
15635,"293T | ZNF266 | ID:73963
",0.08492563
13803,"C4-2_Prostate | POLR2A | ID:68087
",0.084918134
16358,"LCL_Lymphoblastoid_Blood | YY1 | ID:76299
",0.08471735
15918,"K562_Erythroblast_Bone_Marrow | EZH2 | ID:74684
",0.084704205
19403,"hESC | NKX2-1 | ID:87737
",0.08464548
12507,"HEK293_Epithelium_Embryonic_Kidney | ZNF816 | ID:65185
",0.08463202
1593,"Keratinocyte | TP63 | ID:36140
",0.084589005
21457,"LNCaP | DNase | ENCODE
",0.08457644
11350,"A549_Epithelium_Lung | H3K4me1 | ID:63489
",0.08447455
12776,"T_Lymphocyte | ATAC-seq | ID:65983
",0.084376514
10904,"Colon | POLR2A | ID:62737
",0.08436905
20026,"Brain_Cingulate_Gyrus | H3K36me3 | Roadmap
",0.08436464
12850,"WM989_melanoma | ATAC-seq | ID:66058
",0.084282584
8426,"MCF-7_Epithelium_Breast | EP300 | ID:54636
",0.08423602
5822,"MCF-7_Epithelium_Breast | PML | ID:46307
",0.084226
19581,"K562_Erythroblast_Bone_Marrow | H3K27ac | ID:88357
",0.08412479
16983,"Monocyte_Blood | ATAC-seq | ID:80543
",0.08411365
14351,"MV4;11_Leukemia_Cell_Blood | BRD4 | ID:69758
",0.08406836
20019,"Brain_Anterior_Caudate | H3K36me3 | Roadmap
",0.08405303
21681,"PanIslets | DNase | ENCODE
",0.0840163
20038,"Brain_Hippocampus_Middle | H3K36me3 | Roadmap
",0.084000945
10536,"IMR90_Fibroblast_Lung | H3K27ac | ID:62071
",0.083698384
7833,"HEK293_Epithelium_Embryonic_Kidney | MYC | ID:52429
",0.083680384
12004,"K562_Erythroblast_Bone_Marrow | RELA | ID:64465
",0.08367226
7669,"SKBR-3_Mammary_Gland | H3K27me3 | ID:51798
",0.08362051
9089,"Prostate | AR | ID:56123
",0.08349145
2644,"Kasumi-1_Myeloblast_Blood | RUNX1 | ID:39780
",0.08332735
